@                   x                         y                        z            nabs nscat    abslum      temp    dens        mass       cell_tau  next_n
  3.06056132510428554688e+13  0.00000000000000000000e+00  0.00000000000000000000e+00    0    0  0.0000e+00    0.0  6.7758e-16  1.7827e+25  1.5145e-03    0
  3.28407699721463046875e+13  0.00000000000000000000e+00  0.00000000000000000000e+00    0    0  0.0000e+00    0.0  5.8849e-16  1.9129e+25  1.4114e-03    0
  3.52391622908152968750e+13  0.00000000000000000000e+00  0.00000000000000000000e+00    0    0  0.0000e+00    0.0  5.1111e-16  2.0526e+25  1.3154e-03    0
  3.78127114562673984375e+13  0.00000000000000000000e+00  0.00000000000000000000e+00    0    0  0.0000e+00    0.0  4.4390e-16  2.2025e+25  1.2258e-03    0
  4.05742093377627656250e+13  0.00000000000000000000e+00  0.00000000000000000000e+00    0    0  0.0000e+00    0.0  3.8553e-16  2.3634e+25  1.1424e-03    0
  4.35373820068047265625e+13  0.00000000000000000000e+00  0.00000000000000000000e+00    0    0  0.0000e+00    0.0  3.3484e-16  2.5360e+25  1.0646e-03    0
  4.67169579628082265625e+13  0.00000000000000000000e+00  0.00000000000000000000e+00    0    0  0.0000e+00    0.0  2.9081e-16  2.7212e+25  9.9219e-04    0
  5.01287413413530156250e+13  0.00000000000000000000e+00  0.00000000000000000000e+00    0    0  0.0000e+00    0.0  2.5257e-16  2.9199e+25  9.2466e-04    0
  5.37896904689044375000e+13  0.00000000000000000000e+00  0.00000000000000000000e+00    0    0  0.0000e+00    0.0  2.1936e-16  3.1331e+25  8.6173e-04    0
  5.77180021544593515625e+13  0.00000000000000000000e+00  0.00000000000000000000e+00    0    0  0.0000e+00    0.0  1.9052e-16  3.3619e+25  8.0308e-04    0
  6.19332021370902265625e+13  0.00000000000000000000e+00  0.00000000000000000000e+00    0    0  0.0000e+00    0.0  1.6547e-16  3.6075e+25  7.4842e-04    0
  6.64562421389584765625e+13  0.00000000000000000000e+00  0.00000000000000000000e+00    0    0  0.0000e+00    0.0  1.4371e-16  3.8709e+25  6.9748e-04    0
  7.13096040062005937500e+13  0.00000000000000000000e+00  0.00000000000000000000e+00    0    0  0.0000e+00    0.0  1.2481e-16  4.1536e+25  6.5001e-04    0
